person,cause_short,date,dept_name,state
Patrolman Edward J. Kavanagh,Gunfire,1907-11-14,New York City Police Department, NY
Patrolman Theodore Bossung,Animal related,1907-11-15,Louisville Police Department, KY
Patrolman Robert McAneney,Gunfire,1907-11-16,Chicago Police Department, IL
Deputy U.S. Marshal George Williams,Gunfire,1907-11-16,United States Department of Justice - United States Marshals Service, US
Night Marshal James B. Culleton,Fire,1907-11-20,Brookfield Police Department, MO
Patrolman George Gusrang,Gunfire,1907-11-22,Burlington City Police Department, NJ
"Special Officer George ""Merkel"" White",Gunfire,1907-11-25,Oakland Police Department, CA
Police Captain James Edward Meehan,Gunfire,1907-11-25,Franklin Police Department, PA
Policeman Patrick H. Lyons,Gunfire,1907-11-30,Los Angeles Police Department, CA
Special Officer Miguel Cantu,Gunfire,1907-11-30,San Antonio Police Department, TX
Police Officer James A. Manier,Gunfire,1907-12-06,Atlanta Police Department, GA
Town Marshal William J. Brinson,Gunfire,1907-12-08,Midville Police Department, GA
Special Agent Joseph M. Smith,Struck by train,1907-12-10,"Chicago, Burlington and Quincy Railroad Police Department", RR
Officer Charles Hoard,Gunfire,1907-12-12,Hopkinsville Police Department, KY
Patrolman Simon R. Cannon,Gunfire,1907-12-13,Louisville Police Department, KY
Town Marshal Albert Clutterbuck,Gunfire,1907-12-14,Florence Police Department, KY
Patrolman Charles S. Ford,Gunfire,1907-12-14,Salt Lake City Police Department, UT
Deputy Collector John Walter Hendrix,Gunfire,1907-12-20,United States Department of the Treasury - Office of Internal Revenue, US
Constable Preston Van Buren Swanguen,Gunfire,1907-12-24,Riverside County Sheriff's Department, CA
Special Deputy Lee Eldridge,Gunfire,1907-12-25,Sullivan County Sheriff's Department, TN
Constable Samuel B. Teas,Gunfire (Accidental),1907-12-29,Caldwell County Constable's Office - Precinct 1, TX
"Police Officer William  ""Bill"" Hudson",Gunfire,1908-01-01,Ocala Police Department, FL
Patrolman Mike Wrenn,Gunfire,1908-01-01,Knoxville Police Department, TN
Patrolman O. L. Jarnigan,Gunfire,1908-01-01,Knoxville Police Department, TN
Detective William R. Mooney,Gunfire,1908-01-02,Chicago Police Department, IL
Patrolman Michael D. Callahan,Gunfire,1908-01-03,Chicago Police Department, IL
Police Officer James J. Fenton,Gunfire,1908-01-04,Oakland Police Department, CA
Policeman Scott H. Shelley,Struck by vehicle,1908-01-05,Philadelphia Police Department, PA
Patrolman John Leslie McDonald,Gunfire,1908-01-08,Steubenville Police Department, OH
Deputy Sheriff Charles Edwards,Gunfire,1908-01-10,Gila County Sheriff's Office, AZ
Patrolman Robert J. Fitzgerald,Struck by streetcar,1908-01-11,New York City Police Department, NY
Patrolman Patrick J. Kelliher,Assault,1908-01-12,Quincy Police Department, MA
Policeman Albert Holindrake,Gunfire (Accidental),1908-01-12,Park City Police Department, UT
Patrolman John T. Lynch,Gunfire,1908-01-16,Boston Police Department, MA
Police Officer William Alvah Clyde,Gunfire,1908-01-21,Sumter Police Department, SC
City Marshal John Thompson Hamilton,Gunfire,1908-01-22,Hope Police Department, AR
Patrolman John Loughman,Gunfire,1908-01-27,New York City Police Department, NY
Constable Dave Pierce,Gunfire,1908-01-30,Anderson County Constable's Office - Precinct 4, TX
Deputy Sheriff David S. Cox,Gunfire,1908-01-31,Hughes County Sheriff's Office, OK
Private Homer White,Gunfire,1908-02-04,Texas Rangers, TX
Patrolman Patrick Rodgers,Struck by train,1908-02-08,Swissvale Borough Police Department, PA
Patrolman Constantine Andreola,Struck by streetcar,1908-02-13,Shreveport Police Department, LA
Detective Samuel S. Drummy,Gunfire,1908-02-15,Omaha Police Department, NE
Special Policeman J. H. Crawford,Gunfire,1908-02-16,Southern Railroad Police Department, RR
Chief of Police James H. Benton,Gunfire,1908-02-22,Fayetteville Police Department, NC
Patrolman Lewis Keller,Gunfire,1908-02-25,South Bend Police Department, IN
Guard Supra C. Woodroof,Fall,1908-02-29,Virginia Department of Corrections, VA
City Marshal J. W. Newsome,Gunfire,1908-03-03,Floral City Marshal's Office, FL
Night Watchman James Delmar Ellis,Gunfire,1908-03-06,Brighton Police Department, CO
Deputy Warden John Robinson,Stabbed,1908-03-08,Montana Department of Corrections - State Prison, MT
Sheriff Syl G. Ford,Struck by train,1908-03-09,Kay County Sheriff's Office, OK
Police Officer Willis A. Smith,Gunfire,1908-03-10,Birmingham Police Department, AL
Police Officer L. F. Harvey,Gunfire,1908-03-10,Muskogee Police Department, OK
Chief of Police Daniel E. Doncaster,Accidental,1908-03-14,Wilkinsburg Borough Police Department, PA
Inspector Charles E. Jones,Gunfire (Accidental),1908-03-19,United States Department of the Treasury - Customs Service, US
Inspector Charles R. Logan,Gunfire (Accidental),1908-03-19,United States Department of the Treasury - Customs Service, US
"Sheriff Enos L. ""Bud"" McCracken",Gunfire,1908-03-21,Barber County Sheriff's Office, KS
Sheriff James T. Webb,Gunfire,1908-03-24,Yellowstone County Sheriff's Office, MT
Patrolman Pat Sweeney,Gunfire,1908-03-30,Tiffin Police Department, OH
Chief of Detectives William E. Dwyer,Gunfire,1908-04-02,Terre Haute Police Department, IN
Deputy Sheriff James Morefield,Gunfire,1908-04-05,Scott County Sheriff's Office, VA
Deputy Sheriff Antonio T. Shelby,Gunfire,1908-04-07,Las Animas County Sheriff's Office, CO
Policeman Charles Miller,Gunfire,1908-04-08,Salem Police Department, OH
Policeman Thomas A. Gordon,Gunfire (Accidental),1908-04-09,Philadelphia Police Department, PA
Patrolman August Lind,Gunfire,1908-04-10,Danville Police Department, IL
Deputy Marshal Harry E. Miller,Gunfire,1908-04-10,Kent Police Department, WA
Police Officer Will Garr,Gunfire,1908-04-14,Caney Police Department, KS
Night Marshal Pleasant Eugene Holt,Gunfire,1908-04-18,Villa Rica Police Department, GA
City Marshal James Ryan,Gunfire,1908-04-19,Warrensburg Police Department, MO
Officer James E. Basham,Gunfire,1908-04-20,Warrensburg Police Department, MO
Lieutenant Arthur Briggs,Heart attack,1908-04-28,Duluth Police Department, MN
Policeman William H. Beck,Gunfire,1908-05-02,Denver Police Department, CO
Sergeant James Patrick Boyle,Gunfire,1908-05-03,Toledo Police Department, OH
Patrolman Eugene L. White,Gunfire,1908-05-21,Meridian Police Department, MS
Mounted Patrolman Charles G. Peterson,Gunfire,1908-05-23,Cincinnati Police Department, OH
Sheriff Alfred Henry Bath,Gunfire,1908-05-29,Albany County Sheriff's Office, WY
Officer William H. Heins,Gunfire,1908-06-04,San Francisco Police Department, CA
Railroad Policeman J. George Schriner,Train accident,1908-06-05,"Washington, Baltimore & Annapolis Electric Railway Police Department", RR
Sheriff George Washington Garrison,Gunfire,1908-06-05,Oklahoma County Sheriff's Office, OK
Deputy Constable F. M. Woods,Gunfire,1908-06-08,Eufaula Police Department, OK
Guard James Walter Johnson,Gunfire (Accidental),1908-06-16,Bibb County Sheriff's Office, GA
Patrolman Frank Duncan,Gunfire,1908-06-19,Latonia Police Department, KY
Special Officer William Wetherspoon Gemmell,Gunfire,1908-06-22,Pawtucket Police Department, RI
Detective Daniel F. McCrea,Gunfire,1908-06-24,"Buffalo, Rochester and Pittsburgh Railroad Police", RR
Policeman William F. Campbell,Gunfire,1908-07-02,Bristol Police Department, VA
Chief of Police Martin A. Fine,Fire,1908-07-04,LaFollette Police Department, TN
Policeman George T. Smith,Gunfire,1908-07-04,Suffolk Police Department, VA
Patrolman Charles W. Lind,Struck by streetcar,1908-07-05,Cincinnati Police Department, OH
Town Marshal Thomas Nicholson,Gunfire,1908-07-11,Gowrie Police Department, IA
Customs Inspector Ziba H. Nickerson,Explosion,1908-07-16,United States Department of the Treasury - Customs Service, US
Customs Inspector Charles F. Atwood,Explosion,1908-07-16,United States Department of the Treasury - Customs Service, US
Deputy Sheriff Robert Gardner,Gunfire,1908-07-17,Jefferson County Sheriff's Office, AL
Special Deputy Sheriff Escapulo Domingez,Gunfire,1908-07-17,Coconino County Sheriff's Department, AZ
Guard James Elliot,Assault,1908-07-17,Texas Department of Criminal Justice, TX
City Marshal Carl Right Grooms,Gunfire,1908-07-19,Greenfield Police Department, TN
Deputy Jailer Henry Ross McCain,Stabbed,1908-07-19,Wharton County Sheriff's Department, TX
Patrolman Michael McCormick,Gunfire,1908-07-23,Niagara Falls Police Department, NY
Marshal John S. Wright,Gunfire,1908-07-23,Colville Police Department, WA
Constable Thomas D. Conger,Gunfire,1908-07-24,Ellis County Constable's Office - Precinct 4, TX
Deputy Sheriff Frank A. Hayden,Assault,1908-07-26,Windsor County Sheriff's Office, VT
Police Officer W. T. Phillips,Gunfire,1908-08-02,Little Rock Police Department, AR
Town Marshal Lafayette C. Copas,Gunfire,1908-08-08,Rocky Hill Station Police Department, KY
Patrolman Francis McDermott,Gunfire,1908-08-08,Methuen Police Department, MA
Patrolman Charles H. Emerson,Gunfire,1908-08-08,Methuen Police Department, MA
Deputized Civilian Dock McDavid,Gunfire (Accidental),1908-08-08,Bastrop County Constable's Office - Precinct 8, TX
Patrolman William S. Winningder,Gunfire,1908-08-11,Portsmouth Police Department, VA
Police Officer Zeno Fults,Gunfire,1908-08-12,St. Louis Metropolitan Police Department, MO
Railroad Detective Charles L. Stewart,Gunfire,1908-08-13,"Atchison, Topeka and Santa Fe Railroad Police Department", RR
Patrolman John Carroll,Stabbed,1908-08-14,New Orleans Police Department, LA
Policeman William P. Stephens,Gunfire,1908-08-25,Denver Police Department, CO
Deputy Sheriff William J. Rogers,Train accident,1908-08-26,Harrison County Sheriff's Office, TX
Sheriff William E. Haynes,Gunfire,1908-09-05,Lowndes County Sheriff's Office, AL
City Marshal Bentley MacFarland Burnett,Gunfire,1908-09-05,Haleyville Police Department, AL
Railroad Detective William B. Stanton,Gunfire,1908-09-05,Pennsylvania Railroad Police Department, RR
Town Marshal John D. Owens,Gunfire,1908-09-06,Wildwood Police Department, FL
Chief of Detectives Patrick Gill,Gunfire,1908-09-06,East St. Louis Police Department, IL
Captain Walter H. Auble,Gunfire,1908-09-09,Los Angeles Police Department, CA
Constable Edward Adolphus George,Gunfire,1908-09-16,St. Petersburg Police Department, FL
Policeman Henry Williams,Stabbed,1908-09-18,Paris Police Department, KY
Warden L. Pressley Reeves,Gunfire,1908-09-22,South Carolina Department of Natural Resources, SC
Chief of Police James Erville Vaughan,Stabbed,1908-09-23,Carver Police Department, MA
Postal Inspector Charles Fitzgerald,Gunfire,1908-09-23,United States Postal Inspection Service, US
Officer Samuel Smyth Young,Gunfire,1908-09-23,Portland Police Bureau, OR
Deputy Marshal Ben Porch,Gunfire,1908-09-24,Barnesville Police Department, GA
Reserve Officer Daniel J. Donovan,Gunfire (Accidental),1908-09-29,Springfield Police Department, MA
Patrolman Nicholas Nester,Fire,1908-10-07,Jersey City Police Department, NJ
Sheriff William Henry Smith,Gunfire (Accidental),1908-10-09,Greene County Sheriff's Department, TN
Patrolman Fred P. Widmann,Gunfire,1908-10-11,Waterloo Police Department, IA
Deputy Game Warden Charles B. Peyton,Gunfire,1908-10-18,"Montana Department of Fish, Wildlife and Parks", MT
Patrolman James Farrell,Gunfire (Accidental),1908-10-23,Pittsburgh Police Department, PA
Police Officer Edward Dellmore,Assault,1908-10-25,St. Louis Metropolitan Police Department, MO
Marshal Charles A. Ralston,Gunfire,1908-11-01,Weeping Water Police Departmnet, NE
Chief of Police Alvin G. Miller,Gunfire,1908-11-02,Fairbanks Police Department, AK
Constable D. B. Cook,Gunfire,1908-11-03,Ardmore Police Department, OK
Police Officer John W. Little,Gunfire,1908-11-07,Birmingham Police Department, AL
Deputy Sheriff William Larkin Stiles,Gunfire,1908-11-08,Humboldt County Sheriff's Office, NV
Officer William E. Yetton,Animal related,1908-11-09,Metropolitan Police Department, DC
Night Patrolman Albert B. Smith,Gunfire,1908-11-10,Cripple Creek Police Department, CO
Superintendent Joseph W. Martin,Fall,1908-11-13,New Jersey Department of Corrections, NJ
Deputy Game Warden Julius A. Salmonson,Drowned,1908-11-15,Michigan Department of Natural Resources, MI
Deputy Game Warden Martin Salmonson,Drowned,1908-11-15,Michigan Department of Natural Resources, MI
Deputy Sheriff Joseph C. Hazeltine,Drowned,1908-11-15,Muskegon County Sheriff's Office, MI
Patrolman Charles A. Berberich,Electrocuted,1908-11-15,New York City Police Department, NY
Assistant Chief Henry Klaber,Gunfire,1908-11-15,Okmulgee Police Department, OK
Sheriff William Edgar Robinson,Gunfire,1908-11-15,Okmulgee County Sheriff's Office, OK
Special Officer Felix Chapman,Gunfire,1908-11-15,Okmulgee Police Department, OK
"Special Deputy Sheriff Richard ""Dick"" Burrus",Gunfire,1908-11-23,Lake County Sheriff's Office, TN
Deputy Sheriff John R. Tabner,Gunfire,1908-11-25,Hughes County Sheriff's Office, OK
Chief Deputy Seymore Legrande Clark,Gunfire,1908-11-27,Weber County Sheriff's Department, UT
Chief of Police William J. Biggy,Drowned,1908-11-30,San Francisco Police Department, CA
Sheriff Jackson Stanland,Gunfire,1908-11-30,Brunswick County Sheriff's Office, NC
Deputy Sheriff George Lasonro Bryant,Gunfire,1908-12-03,Alachua County Sheriff's Office, FL
Police Officer Joseph D. James,Gunfire,1908-12-04,Alexandria Police Department, LA
Special Deputy Sheriff Wiley Litteral,Gunfire,1908-12-05,Lawrence County Sheriff's Office, KY
Patrolman Michael P. Mullane,Gunfire,1908-12-08,Kansas City Police Department, MO
Patrolman Albert O. Dolbow,Gunfire,1908-12-08,Kansas City Police Department, MO
Chief of Police John Bigbee,Fire,1908-12-11,Cranston Police Department, RI
Patrolman Benjamin Franklin Fox,Duty related illness,1908-12-16,Mexico Police Department, MO
Police Officer Otto H. Flieth,Struck by streetcar,1908-12-17,Milwaukee Police Department, WI
Deputy Marshal Elmer Magruder,Gunfire,1908-12-18,Higbee Police Department, MO
Policeman Edward Mooney,Struck by vehicle,1908-12-19,Philadelphia Police Department, PA
Chief of Police Walter R. McClintock,Gunfire,1908-12-19,Wytheville Police Department, VA
Deputized Civilian John Brooks,Gunfire,1908-12-22,Knox County Sheriff's Office, KY
Deputy Sheriff Robert B. Smith,Gunfire,1908-12-23,Knox County Sheriff's Office, KY
Patrolman Harry E. Campbell,Gunfire,1908-12-24,Columbus Division of Police, OH
Deputy Sheriff Charles Nicholas Mitchell,Gunfire,1908-12-24,Mayes County Sheriff's Office, OK
"Constable John C. McBride, Jr.",Gunfire,1908-12-24,Williamson County Constable's Office - Precinct 8, TX
Deputy U.S. Marshal John C. Mullins,Gunfire,1908-12-25,United States Department of Justice - United States Marshals Service, US
Corporal Juan Roig-Loyola,Gunfire,1908-12-25,Puerto Rico Police Department, PR
Deputy Jailer Logan Young,Gunfire,1908-12-27,Jessamine County Sheriff's Department, KY
Policeman Alberto Souffront,Unidentified,1909-01-01,Puerto Rico Police Department, PR
Deputy Sheriff Floyd Lusk,Gunfire,1909-01-02,Wyoming County Sheriff's Department, WV
Deputy Constable Charles A. De Moranville,Gunfire,1909-01-04,Los Angeles County Constable's Office, CA
"Private N. P. ""Doc"" Thomas",Gunfire,1909-01-05,Texas Rangers, TX
Deputy Sheriff Benjamin F. Milligan,Gunfire,1909-01-07,Cimarron County Sheriff's Office, OK
Sergeant Antone J. F. Nolting,Gunfire,1909-01-08,San Francisco Police Department, CA
Patrolman William Mateer,Drowned,1909-01-10,Metropolitan Police Department, MA
Deputy Sheriff James I. G. Hamons,Gunfire,1909-01-14,Clinton County Sheriff's Department, KY
Officer Lafayette A. Smith,Gunfire,1909-01-14,Omaha Police Department, NE
"City Marshal E. M. ""Zeke"" Putnam",Gunfire,1909-01-16,Allen Police Department, OK
Night Marshal Zachary T. Shipley,Gunfire,1909-01-17,Flora Police Department, IL
Deputy Sheriff Philip Fatch,Gunfire,1909-01-21,Mobile County Sheriff's Office, AL
"Policeman Alexander  ""Alex"" Brighton",Gunfire,1909-01-22,Trinidad Police Department, CO
Deputy Sheriff J. W. Lacaze,Gunfire,1909-01-24,Rapides Parish Sheriff's Office, LA
Patrolman McDuffie Hampton Stone,Gunfire,1909-01-28,Laurens Police Department, SC
Chief of Police Emmett Goodwin,Gunfire,1909-02-01,Chickasha Police Department, OK
Railroad Policeman Alexander S. Smith,Gunfire,1909-02-04,Northern Pacific Railroad Police Department, RR
Deputy Constable William Robert Draper,Gunfire,1909-02-05,Lamar County Constable's Office - Precinct 1, TX
Sergeant Mark A. Prynn,Gunfire (Accidental),1909-02-09,Pennsylvania State Police, PA
Policeman William A. Monroe,Gunfire,1909-02-13,Salisbury Police Department, NC
Chief of Police W. H. Forrest,Gunfire,1909-02-16,Cordele Police Department, GA
Policeman Robert Simons,Struck by train,1909-02-17,Philadelphia Police Department, PA
Deputy Keeper Edward McManus,Assault,1909-02-18,New Jersey Department of Corrections, NJ
Patrolman John E. Creedon,Gunfire,1909-02-18,Utica Police Department, NY
Policeman Edward Lowry,Gunfire,1909-02-19,South Omaha Police Department, NE
Detective Sergeant John B. Goldhammer,Gunfire,1909-02-19,New York City Police Department, NY
Captain Timothy Hassett,Gunfire,1909-02-21,Olean Police Department, NY
Private John Garscia,Gunfire (Accidental),1909-02-21,Pennsylvania State Police, PA
Patrolman Thomas Smith,Accidental,1909-02-27,New York City Police Department, NY
"Deputy U.S. Marshal John Dees ""Buck"" Crews",Gunfire (Accidental),1909-03-04,United States Department of Justice - United States Marshals Service, US
Police Officer Thomas H. Worthington,Electrocuted,1909-03-04,Baltimore City Police Department, MD
Captain William H. Mathews,Gunfire,1909-03-05,Metropolitan Police Department, DC
Deputy U.S. Marshal Christopher Duffie Corbin,Gunfire,1909-03-08,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal William Benjamin Franklin Corbin,Gunfire,1909-03-08,United States Department of Justice - United States Marshals Service, US
"Lieutenant Giuseppe ""Joseph"" Petrosino",Gunfire,1909-03-12,New York City Police Department, NY
Sheriff Willie M. Langston,Gunfire,1909-03-19,Leon County Sheriff's Office, FL
Night Watchman Thomas Edward Drawbond,Gunfire,1909-03-19,Norfolk and Western Railroad Police Department, RR
Officer Frederick Barner,Gunfire,1909-03-21,Pueblo Police Department, CO
City Marshal Edward Baum,Gunfire,1909-03-27,Checotah Police Department, OK
Deputy Sheriff Herman Odom,Gunfire,1909-03-27,McIntosh County Sheriff's Office, OK
Police Officer J. D. Carter,Stabbed,1909-04-04,Pensacola Police Department, FL
Constable Jesse Simon Long,Gunfire,1909-04-05,Bug Hill Township Constable's Office, NC
Deputy Sheriff Green Pryor William Cude,Gunfire,1909-04-19,Grady County Sheriff's Office, OK
Correction Officer John L. Wylie,Gunfire (Accidental),1909-04-22,Texas Department of Criminal Justice, TX
Deputy Sheriff Lewis Markham Huffman,Gunfire,1909-04-26,Harrison County Sheriff's Office, TX
Chief of Police Claude Hensley,Stabbed,1909-04-27,Clendenin Police Department, WV
"Special Deputy Marshal Alonzo Walter ""Lon"" Holden",Gunfire (Accidental),1909-05-07,United States Department of Justice - United States Marshals Service, US
"Deputy Sheriff Sheldon S. ""Shelley"" Nicks",Gunfire,1909-05-08,Pasco County Sheriff's Office, FL
Patrolman Artemus L. Fish,Animal related,1909-05-18,New York City Police Department, NY
Patrolman H. C. Conner,Gunfire,1909-05-22,Jefferson County Police Department, KY
Special Agent Charles W. Williams,Struck by train,1909-05-24,Louisville and Nashville Railroad Police Department, RR
Police Officer John Slade,Struck by train,1909-06-01,Pasadena Police Department, CA
Deputy Sheriff Charles Escalanti,Stabbed,1909-06-06,United States Department of Justice - United States Marshals Service, US
Officer Samuel F. Irish,Heat exhaustion,1909-06-07,Indianapolis Police Department, IN
Detective Sergeant William J. Russell,Gunfire,1909-06-12,Chicago Police Department, IL
Village Marshal Patrick Crowley,Gunfire,1909-06-13,Hodgkins Police Department, IL
Deputy Sheriff Thomas Newt Pearson,Gunfire,1909-06-13,McIntosh County Sheriff's Office, OK
Constable Thomas Sharp Lynch,Gunfire,1909-06-14,Mendocino County Constable's Office - Ukiah Judicial District, CA
Chief of Detectives Frank B. Stiggers,Gunfire,1909-06-17,Kentucky and Indiana Bridge and Railroad Police Department, KY
Deputy Constable George Johnson Kirk,Gunfire,1909-06-18,Braggs Police Department, OK
Town Constable Albert E. Miller,Gunfire,1909-06-20,Oxford Police Department, MA
Deputy Constable Albert Turner,Gunfire,1909-06-25,Latimer County Constable's Office, OK
"Policeman William E. Orrison, Jr.",Assault,1909-06-29,Brunswick Police Department, MD
Detective Harry Hinkson Boon,Gunfire,1909-06-30,Pennsylvania Railroad Police Department, RR
Patrolman Henry Schnable,Gunfire,1909-07-01,Chicago Police Department, IL
Patrolman John P. Kearney,Fall,1909-07-02,Chicago Police Department, IL
Deputy James I. Kent,Gunfire,1909-07-02,Union County Sheriff's Department, NM
Police Officer Peter Gauer,Electrocuted,1909-07-03,Milwaukee Police Department, WI
City Marshal Charles T. Farrow,Gunfire,1909-07-04,Okemah Police Department, OK
Constable Cotesworth Pinckney Fishburne,Gunfire,1909-07-06,South Carolina State Dispensary Commission, SC
Policeman J. Willett Miller,Gunfire,1909-07-09,Blowing Rock Police Department, NC
Deputy Dispensary Constable John Dozier Altman,Gunfire,1909-07-09,South Carolina State Dispensary Commission, SC
City Marshal Henry R. Rickey,Gunfire,1909-07-10,Clarence Police Department, MO
Patrolman Edward Shay,Struck by train,1909-07-13,Southern Pacific Railroad Police Department, RR
Detective Sergeant John Dunleavy,Gunfire,1909-07-21,Pueblo Police Department, CO
Officer Rufus A. Hobbs,Animal related,1909-07-23,Norfolk Police Department, VA
Police Officer G. M. Lanius,Gunfire,1909-08-02,Alexandria Police Department, LA
"Officer William Addison ""Ad"" Campbell",Gunfire,1909-08-12,Fort Worth Police Department, TX
City Marshal J. H. Swinford,Gunfire,1909-08-16,Kiefer Police Department, OK
Private John L. Williams,Gunfire,1909-08-22,Pennsylvania State Police, PA
Deputy Sheriff Harry H. Exley,Gunfire,1909-08-22,Allegheny County Sheriff's Office, PA
"Private John Curtis ""Jack"" Smith",Gunfire,1909-08-23,Pennsylvania State Police, PA
Deputy Sheriff Joseph W. Sykes,Gunfire,1909-08-29,Norfolk County Sheriff's Office, VA
Deputy Sheriff John L. Wainwright,Gunfire,1909-08-30,Clarke County Sheriff's Department, AL
Policeman Walter Marshall,Gunfire,1909-09-04,Clarksdale Police Department, MS
Policeman Clifford A. Hawley,Gunfire,1909-09-07,Huron Police Department, SD
Special Deputy Sheriff Hillen Armour Munson,Gunfire,1909-09-15,Brazoria County Sheriff's Office, TX
Detective Frank Delmege,Gunfire,1909-09-20,Des Moines Police Department, IA
Deputy Sheriff Carlo Jones,Gunfire,1909-09-24,Whitley County Sheriff's Department, KY
Patrolman Thomas M. Eckhart,Gunfire,1909-10-01,Salem Police Department, OR
Special Officer Charles C. Riley,Gunfire,1909-10-05,Salt Lake City Police Department, UT
Police Officer Richard D. Bell,Gunfire,1909-10-06,Haileyville Police Department, OK
Patrolman George W. Thomas,Heart attack,1909-10-10,Buffalo Police Department, NY
Officer Hammersly McMurray,Struck by streetcar,1909-10-15,San Francisco Police Department, CA
Police Officer Wilson Pringle,Gunfire,1909-10-16,Lawrence Police Department, KS
City Marshal Robert S. Garrett,Gunfire,1909-10-16,Hastings Police Department, OK
Patrolman William Walsh,Drowned,1909-10-20,Pittsburgh Police Department, PA
Guard John F. Campbell,Gunfire,1909-10-22,New Castle County Workhouse, DE
Patrolman Simon J. Callinan,Struck by train,1909-10-25,Buffalo Police Department, NY
Deputy Sheriff Pleas Yargee,Gunfire,1909-10-27,Tulsa County Sheriff's Office, OK
Officer Alfred B. Waterbury,Gunfire,1909-10-28,Spokane Police Department, WA
Town Marshal Patrick J. Hatton,Gunfire,1909-11-02,Carroll Police Department, IA
Patrolman William Smith,Gunfire,1909-11-15,Joplin Police Department, MO
Patrolman William Murphy,Gunfire,1909-11-19,Louisville Police Department, KY
City Marshal Walter Nichols,Gunfire,1909-11-20,Delhi Police Department, LA
Police Officer George Clinton Eubank,Gunfire,1909-11-23,Wylam Police Department, AL
Deputy Sheriff William H. Farra,Gunfire,1909-11-29,Darke County Sheriff's Office, OH
Sheriff Jacob Bell,Gunfire,1909-12-09,Holmes County Sheriff's Department, OH
Special Police Officer Theodore G. Canham,Electrocuted,1909-12-11,San Francisco Police Department, CA
Jailer William Vernon Coffey,Gunfire,1909-12-11,Green County Jail, KY
City Marshal James Edgar Williams,Gunfire,1909-12-21,Rosebud Police Department, TX
Officer William T. Osborne,Gunfire,1909-12-27,Lancaster Police Department, OH
Special Policeman John Babb,Gunfire,1909-12-31,West Chester Borough Police Department, PA
Crossing Policeman Eugene Calvin Smith,Fall,1910-01-01,Metropolitan Police Department, DC
Town Marshal William Bagget,Gunfire,1910-01-12,Claxton Police Department, GA
Policeman Warren G. Devinish,Gunfire,1910-01-12,Leavenworth Police Department, KS
Deputy Sheriff Andrew W. Lindquist,Gunfire,1910-01-13,Alameda County Sheriff's Office, CA
Patrolman Samuel Charles Carpenter,Gunfire,1910-01-17,Denver Police Department, CO
Sheriff Eugene Dickson Hubbard,Gunfire,1910-01-21,Simpson County Sheriff's Department, MS
Deputy Sheriff Howard Edmond Murray,Gunfire,1910-01-28,Pittsburg County Sheriff's Office, OK
Deputy Sheriff Gordon Givens,Gunfire,1910-01-30,Bell County Sheriff's Department, KY
Special Deputy Sheriff John A. Beasley,Gunfire,1910-01-30,San Patricio County Sheriff's Office, TX
Policeman James O'Brien,Fire,1910-02-04,Philadelphia Police Department, PA
Marshal William Henry Maeger,Gunfire,1910-02-13,Tallapoosa Police Department, GA
Marshal William Jefferson Prince,Gunfire,1910-02-20,Davisboro Police Department, GA
Officer Morris R. Reagan,Gunfire,1910-02-25,Oklahoma City Police Department, OK
Deputy Sheriff W. H. Lucy,Gunfire,1910-02-25,Shelby County Sheriff's Office, TN
Deputy Sheriff Charles Washington Hodges,Gunfire,1910-02-26,Haskell County Sheriff's Office, OK
Officer Adam Hawk,Gunfire,1910-02-28,Quinault Tribal Police Department, TR
Officer John Williams,Gunfire,1910-02-28,Quinault Tribal Police Department, TR
Chief of Police C. W. Dunn,Gunfire,1910-03-04,Scotland Neck Police Department, NC
Patrolman John Wren,Gunfire,1910-03-05,Chicago Police Department, IL
Deputy Sheriff Edward Matthews,Gunfire,1910-03-06,Manatee County Sheriff's Office, FL
Policeman Ellsworth G. Deitz,Gunfire,1910-03-08,Bridgeport Police Department, CT
Police Officer Frank Horn Cloud,Gunfire,1910-03-10,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Deputy Sheriff J. C. Adams,Gunfire,1910-03-12,Franklin Parish Sheriff's Department, LA
Night Watchman George Whybark,Gunfire,1910-03-14,Santa Clara Police Department, CA
Patrol Driver John H. Ryan,Gunfire,1910-03-19,Memphis Police Department, TN
Deputy Constable Early Evans Sparks,Stabbed,1910-03-25,McLennan County Constable's Office - Precinct 1, TX
Marshal Jack G. Deitrick,Gunfire,1910-03-25,Northport Police Department, WA
Guard Thomas C. McCullough,Gunfire,1910-03-26,New Castle County Workhouse, DE
Special Agent Edward Scott,Struck by train,1910-03-28,Union Pacific Railroad Police Department, RR
Deputy Chief William E. Murphy,Gunfire,1910-04-01,Houston Police Department, TX
"Jailer J. R. ""Bob"" Temple",Gunfire,1910-04-06,Lauderdale County Sheriff's Office, MS
Policeman David Brooks,Gunfire,1910-04-08,Los Angeles Police Department, CA
Deputy Collector William Arnot Anderson,Gunfire,1910-04-13,United States Department of the Treasury - Office of Internal Revenue, US
Deputy City Marshal Samuel N. Combs,Stabbed,1910-04-18,Orange Police Department, TX
Officer Joseph Krupp,Gunfire,1910-04-19,Indianapolis Police Department, IN
Patrolman Patrick Melia,Gunfire,1910-04-27,Chicago Police Department, IL
Chief of Police Charles L. Schmidt,Gunfire,1910-04-29,Carlstadt Police Department, NJ
Constable James J. Bobbitt,Gunfire,1910-04-30,Houston County Constable's Office - Precinct 7, TX
